date,releaseName,removals,geneAdditions,allelleAdditions,sequenceUpdate,metadataUpdate
10. April 2019,201915-3,,,,,2
2. April 2019,201914-2 ,,1,4,1,
12. February 2019,201907-2,1,,,1,2
20. December 2018,201851-4,,,,1,
8. November 2018,201845-4,,1,1,,
26. September 2018,201839-3,,1,1,,2
3. September 2018,201836-1,,4,4,3,
25. July 2018,201830-3,,3,3,,
18. July 2018,201829-3,,1,1,1,
13. June 2018,201824-3,,,,1,
4. April 2018,201814-3 ,,8,8,2,
8. February 2018,201806-4,,,1,,
20. December 2017,201751-3 ,,,,2,
11. July 2017,201728-2,,,,,1
8. June 2017,201723-4,,,,,4
7. October 2016,201640-5,1,1,1,2,
28. July 2015,201531-2,,,1,2,
9. July 2015,201528-4 ,,4,5,,
8. April 2015,201515-3,3,,,,2
12. March 2015,201511-4,,,,6,1
17. February 2015,201508-2,,,,16,1
19. January 2015,201504-1,,,15,,
3. September 2014,201436-3 ,,4,,5,
3. April 2014,201414-4,,,,,1
7. March 2014,201410-5,,1,,2,
20. February 2014,201408-4,,3,3,1,2
2. December 2013,201349-1,2,,,6,5
16. September 2013,201338-1,,1,1,,
17. June 2013,201325-1,,5,17,,
14. March 2013,201310-4 ,,1,1,,
20. February 2013,201308-3,1,,,2,
12. September 2012,201237-3,,,,1,
27. July 2012,201230-5,,,,1,
1. March 2012,201209-4,,,,1,
6. January 2012,201201-5,,1,1,,
7. March 2011,201110-1,,1,31,,
20. December 2010,201051-1,,2,,,
28. July 2010,201030-3 ,1,,,1,1
